Np_Col_Dens(cm^-2) Suzaku_Xrays(excess_counts) "Np error" "Suzaku Error"
1.9488e+22 4.44e-05 6.603890082898384e+20 2.9600000000000005e-06
1.5259999999999997e+22 5.04e-05 6.603890082898384e+20 3.36e-06
1.8171999999999997e+22 4.87e-05 6.603890082898384e+20 3.2466666666666668e-06
1.5707999999999997e+22 5.45e-05 6.603890082898384e+20 3.6333333333333334e-06
1.4448e+22 6.98e-05 6.603890082898384e+20 4.653333333333334e-06
2.0104e+22 5.5e-05 6.603890082898384e+20 3.666666666666667e-06
2.0692e+22 3.95e-05 6.603890082898384e+20 2.6333333333333337e-06
1.6743999999999998e+22 4.24e-05 6.603890082898384e+20 2.8266666666666666e-06
1.2824e+22 5.25e-05 6.603890082898384e+20 3.5000000000000004e-06
1.8479999999999998e+22 5.37e-05 6.603890082898384e+20 3.58e-06
8.567999999999999e+21 3.77e-05 6.603890082898384e+20 2.5133333333333336e-06
1.1256e+22 4.92e-05 6.603890082898384e+20 3.2800000000000004e-06
1.1451999999999999e+22 5.73e-05 6.603890082898384e+20 3.82e-06
1.1088e+22 4.8e-05 6.603890082898384e+20 3.2000000000000003e-06
1.7807999999999998e+22 4.56e-05 6.603890082898384e+20 3.0399999999999997e-06
1.7919999999999998e+22 4.67e-05 6.603890082898384e+20 3.1133333333333333e-06
2.3435999999999997e+22 4.92e-05 6.603890082898384e+20 3.2800000000000004e-06
2.3492e+22 4.24e-05 6.603890082898384e+20 2.8266666666666666e-06
1.8059999999999997e+22 4.55e-05 6.603890082898384e+20 3.0333333333333337e-06
9.688e+21 3.67e-05 6.603890082898384e+20 2.446666666666667e-06
1.8228000000000001e+22 2.83e-05 6.603890082898384e+20 1.8866666666666667e-06
2.1392e+22 3.93e-05 6.603890082898384e+20 2.6200000000000003e-06
1.512e+22 4.85e-05 6.603890082898384e+20 3.2333333333333334e-06
1.8199999999999998e+22 2.89e-05 6.603890082898384e+20 1.9266666666666667e-06
7.924e+21 3.84e-05 6.603890082898384e+20 2.5599999999999996e-06
2.5451999999999997e+22 5.45e-05 6.603890082898384e+20 3.6333333333333334e-06
1.0248e+22 4.42e-05 6.603890082898384e+20 2.9466666666666667e-06
1.946e+22 3.75e-05 6.603890082898384e+20 2.4999999999999998e-06
2.17e+22 3.37e-05 6.603890082898384e+20 2.2466666666666666e-06
2.1924e+22 3.11e-05 6.603890082898384e+20 2.073333333333333e-06
4.6199999999999995e+21 3.02e-05 6.603890082898384e+20 2.0133333333333333e-06
1.6631999999999998e+22 3.89e-05 6.603890082898384e+20 2.593333333333333e-06
1.3803999999999997e+22 3.45e-05 6.603890082898384e+20 2.3e-06
1.9488e+22 3.79e-05 6.603890082898384e+20 2.526666666666667e-06
1.8676000000000001e+22 3.64e-05 6.603890082898384e+20 2.4266666666666666e-06
1.7947999999999997e+22 4.17e-05 6.603890082898384e+20 2.78e-06
1.3384e+22 3.86e-05 6.603890082898384e+20 2.5733333333333334e-06
1.3608e+22 4.79e-05 6.603890082898384e+20 3.1933333333333334e-06
2.2651999999999997e+22 6.01e-05 6.603890082898384e+20 4.006666666666667e-06
1.6967999999999998e+22 4.05e-05 6.603890082898384e+20 2.7e-06
2.2176e+22 3.52e-05 6.603890082898384e+20 2.346666666666667e-06
2.45e+22 4.58e-05 6.603890082898384e+20 3.0533333333333335e-06
1.5988000000000001e+22 3.31e-05 6.603890082898384e+20 2.2066666666666666e-06
2.0439999999999998e+22 3.77e-05 6.603890082898384e+20 2.5133333333333336e-06
