Np_Col_Dens(cm^-2) Suzaku_Xrays(excess_counts) "Np error" "Suzaku Error"
2.324e+22 2.61e-05 6.603890082898384e+20 1.7400000000000003e-06
2.5787999999999997e+22 1.13e-05 6.603890082898384e+20 7.533333333333334e-07
3.136e+22 0.00025 6.603890082898384e+20 1.6666666666666667e-05
4.004e+22 0.000229 6.603890082898384e+20 1.5266666666666667e-05
3.892e+22 0.000199 6.603890082898384e+20 1.3266666666666668e-05
3.8639999999999996e+22 0.000183 6.603890082898384e+20 1.22e-05
3.6399999999999996e+22 0.000199 6.603890082898384e+20 1.3266666666666668e-05
5.655999999999999e+22 0.000216 6.603890082898384e+20 1.44e-05
6.608e+22 0.000212 6.603890082898384e+20 1.4133333333333334e-05
4.144e+22 0.000188 6.603890082898384e+20 1.2533333333333332e-05
3.3320000000000002e+22 0.000133 6.603890082898384e+20 8.866666666666668e-06
2.856e+22 7.42e-05 6.603890082898384e+20 4.946666666666667e-06
2.7664e+22 5.05e-05 6.603890082898384e+20 3.3666666666666673e-06
1.904e+22 3.51e-05 6.603890082898384e+20 2.34e-06
2.6096e+22 1.78e-05 6.603890082898384e+20 1.1866666666666666e-06
3.78e+22 0.000261 6.603890082898384e+20 1.74e-05
2.912e+22 0.000234 6.603890082898384e+20 1.56e-05
4.704e+22 0.000219 6.603890082898384e+20 1.4600000000000003e-05
4.731999999999999e+22 0.000213 6.603890082898384e+20 1.4200000000000001e-05
4.9e+22 0.000232 6.603890082898384e+20 1.546666666666667e-05
3.835999999999999e+22 0.000244 6.603890082898384e+20 1.6266666666666668e-05
3.78e+22 0.000241 6.603890082898384e+20 1.606666666666667e-05
3.6680000000000002e+22 0.000232 6.603890082898384e+20 1.546666666666667e-05
3.5839999999999996e+22 0.000168 6.603890082898384e+20 1.12e-05
3.6959999999999996e+22 0.000104 6.603890082898384e+20 6.933333333333334e-06
3.2759999999999994e+22 6.31e-05 6.603890082898384e+20 4.206666666666667e-06
1.6631999999999998e+22 3.32e-05 6.603890082898384e+20 2.2133333333333335e-06
2.8840000000000002e+22 6.81e-05 6.603890082898384e+20 4.540000000000001e-06
3.7519999999999996e+22 0.000294 6.603890082898384e+20 1.96e-05
3.4440000000000002e+22 0.000262 6.603890082898384e+20 1.746666666666667e-05
2.6964e+22 0.000231 6.603890082898384e+20 1.54e-05
4.368e+22 0.000235 6.603890082898384e+20 1.5666666666666667e-05
3.6119999999999994e+22 0.000254 6.603890082898384e+20 1.6933333333333333e-05
2.8840000000000002e+22 0.000244 6.603890082898384e+20 1.6266666666666668e-05
2.7131999999999997e+22 0.000233 6.603890082898384e+20 1.5533333333333333e-05
3.192e+22 0.000239 6.603890082898384e+20 1.5933333333333336e-05
3.304e+22 0.00019 6.603890082898384e+20 1.2666666666666667e-05
3.78e+22 0.000127 6.603890082898384e+20 8.466666666666666e-06
3.1639999999999994e+22 7.61e-05 6.603890082898384e+20 5.073333333333334e-06
2.7076e+22 3.81e-05 6.603890082898384e+20 2.54e-06
2.2932e+22 2.14e-05 6.603890082898384e+20 1.4266666666666666e-06
3.3879999999999994e+22 0.000311 6.603890082898384e+20 2.0733333333333337e-05
3.1639999999999994e+22 0.000287 6.603890082898384e+20 1.9133333333333332e-05
2.8279999999999994e+22 0.000252 6.603890082898384e+20 1.6800000000000002e-05
2.9399999999999994e+22 0.000244 6.603890082898384e+20 1.6266666666666668e-05
2.3072e+22 0.000252 6.603890082898384e+20 1.6800000000000002e-05
2.856e+22 0.000253 6.603890082898384e+20 1.686666666666667e-05
2.5172e+22 0.000239 6.603890082898384e+20 1.5933333333333336e-05
1.5624e+22 0.000225 6.603890082898384e+20 1.5e-05
2.9399999999999994e+22 0.000195 6.603890082898384e+20 1.3e-05
3.3320000000000002e+22 0.000138 6.603890082898384e+20 9.2e-06
4.283999999999999e+22 8.27e-05 6.603890082898384e+20 5.513333333333334e-06
2.4891999999999997e+22 4.28e-05 6.603890082898384e+20 2.8533333333333333e-06
